N° artículo en tienda,EAN / GTIN / código barras,Número del fabricante (HAN/MPN),Fabricante / Marca,Nombre del producto,Precio,Precio especial,Precio original,Plazo de entrega,Categoría del producto en la tienda,Descripción del producto,Características del producto / Otros atributos,URL del producto,URLimagen_1,URLimagen_2,URLimagen_3,Color,Talla,Transferencia,Transferencia / Paypal Austria,Tarjeta de crédito,Paypal,Sofortüberweisung,Domiciliación,Reembolso,Comentario sobre los gastos de envío,Precio base,Cupón de descuento,Clase de eficiencia energética,Unidades
PG7630,PG7630,PG7630,Nowa Szkola,Silbatos,8.46,,8.46,1 - 14 días,Assobios,"<p>O Assobio é um instrumento musical de sopro bastante comum para reproduzir padrões rítmicos.<br>Este instrumento de brincar essencial no processo de iniciação musical permite ao seu executante controlar tanto a duração do som a ser reproduzido como a sua intensidade.</p>
  <p><span>O Assobio é também um recurso fundamental para o desenvolvimento auditivo e para a aquisição do conhecimento em música.</span></p>
  <p><span>Conheça outros instrumentos musicais <a href=""https://abcescolar.pt/collections/instrumentos-musicais-1?page=1"" title=""Instrumentos Musicais"" target=""_blank""><strong>clicando aqui</strong></a>.</span></p>
  <h2><strong>Ao ritmo da música</strong></h2>
  <p><span><meta charset=""utf-8"">Este instrumento permite que as crianças desenvolvam o conhecimento básico da linguagem e do vocabulário musical, desde os nomes das notas musicais aos sons graves, médios e agudos, não esquecendo a melodia, a harmonia e o ritmo.</span></p>
  <p>Pode descobrir mais sobre a importância da música na educação<span> </span><a href=""https://www.abecedariodaeducacao.pt/2019/07/30/a-importancia-da-musicoterapia-no-desenvolvimento-do-ser-humano/"" title=""A Importância da Musicoterapia no Desenvolvimento do Ser Humano"" target=""_blank""><strong>clicando aqui</strong></a>.</p>
  <h2><strong>Alguns benefícios da música:</strong></h2>
  <ul>
  <li>Proporciona alegria e bem-estar<br>
  </li>
  <li>Reduz o stress e a ansiedade</li>
  <li>Aperfeiçoa a comunicação</li>
  <li>Desenvolve a memória </li>
  </ul>
  <h2><strong>Competências adquiridas:</strong></h2>
  <p>&gt; Motricidade<br>&gt; Criatividade<br>&gt; Atenção <br>&gt;<span> Concentração</span><em><br data-mce-fragment=""1""><span data-mce-fragment=""1"">&gt;</span></em> Imaginação</p>
  <h2>
  <strong>Características:</strong><br>
  </h2>
  <ul></ul>
  <ul></ul>
  <ul>
  <li>Dimensões:<span> </span><span data-mce-fragment=""1"">6 x 6 x 1 cm</span>
  </li>
  <li>Peso: 0,04 Kg<br>
  </li>
  <li>3 peças</li>
  </ul>","1º Ciclo, Educação musical, Instrumentos musicais, Música/Artes, Pré-Escolar",https://abcescolar.pt/es/products/assobios,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/assobios.jpg?v=1625674277,,,,N/A,,,,,,,,4.5 €,8.46,,,6
77827,77827,77827,"Areal Editores, S.A.",Delantal de pintura,12.70,,12.70,1 - 14 días,,"<meta charset=""utf-8"">
<h1>Avental de pintura</h1>
<div>Avental de pintura para crianças. Proporciona a proteção ideal para os trabalhos artísticos dos mais pequenos.</div>
<div></div>
<div>Este avental é à prova de vazamentos e, ao mesmo tempo, é respirável. As suas mangas compridas garantem uma proteção e segurança adicional. </div>
<div></div>
<div></div>
<div></div>
<h2>Características</h2>
<div>
<ul>
<li>Lavável a 30ºC</li>
<li>Comprimento da manga, tamanho S, 42 cm</li>
<li>Fabricado em poliéster</li>
<li>Com fecho de velcro</li>
<li>Vários tamanhos disponíveis<br>
</li>
</ul>
<h2>Cores disponíveis</h2>
<ul>
<li>Laranja - Tamanho pequeno</li>
<li>Vermelho - Tamanho médio</li>
<li>Azul - Tamanho grande</li>
</ul>
</div>
<div></div>
<div></div>","Artes Plásticas, KuantoKusta, Material de desgaste, Pré-Escolar",https://abcescolar.pt/es/products/avental-de-pintura-pequeno,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/avental-de-pintura-pequeno.jpg?v=1630594354,,,,N/A,,,,,,,,4.5 €,12.70,,,12
77828,77828,77828,"Areal Editores, S.A.",Delantal de pintura,12.70,,12.70,1 - 14 días,,"<meta charset=""utf-8"">
<h1>Avental de pintura</h1>
<div>Avental de pintura para crianças. Proporciona a proteção ideal para os trabalhos artísticos dos mais pequenos.</div>
<div></div>
<div>Este avental é à prova de vazamentos e, ao mesmo tempo, é respirável. As suas mangas compridas garantem uma proteção e segurança adicional. </div>
<div></div>
<div></div>
<div></div>
<h2>Características</h2>
<div>
<ul>
<li>Lavável a 30ºC</li>
<li>Comprimento da manga, tamanho S, 42 cm</li>
<li>Fabricado em poliéster</li>
<li>Com fecho de velcro</li>
<li>Vários tamanhos disponíveis<br>
</li>
</ul>
<h2>Cores disponíveis</h2>
<ul>
<li>Laranja - Tamanho pequeno</li>
<li>Vermelho - Tamanho médio</li>
<li>Azul - Tamanho grande</li>
</ul>
</div>
<div></div>
<div></div>","Artes Plásticas, KuantoKusta, Material de desgaste, Pré-Escolar",https://abcescolar.pt/es/products/avental-de-pintura-pequeno,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/avental-de-pintura-pequeno.jpg?v=1630594354,,,,N/A,,,,,,,,4.5 €,12.70,,,1
AVENTPLAST,,AVENTPLAST,"João Ferreira Sampaio, Unipessoal Lda",Delantal lavado plastificado,6.15,,6.15,1 - 14 días,Avental,"<h1>Avental lavável plastificado</h1>
<p>Avental lavável plastificado impermeável, de fácil utilização. Adequado para utilização em ambiente escolar.<br></p>
<p>Fabricado em Portugal.</p>","Covid-19, Descartáveis",https://abcescolar.pt/es/products/avental-lavavel-plastificado,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/avental_e59886dc-2da8-4ec9-8b56-18b5567b861a.jpg?v=1627572294,,,,N/A,,,,,,,,4.5 €,6.15,,,2
251167.1604,SR114.5G,251167.1604,Sordalab,Bromotimol azul,16.18,,16.18,1 - 14 días,reagentes,"<p>Sinónimo : BBT<br> Fórmula : C<sub>27</sub>H<sub>28</sub>Br<sub>2</sub>O<sub>5</sub>S<br> Peso molecular : 624, 38 g/mol<br> Número CAS : 76-59-5<br> Número CE : 200-971-2</p>
<p>Especificação :<br> Indicateur de pH : jaune&lt;5, 8-7, 4&gt;bleu<br> Aspecto : poudre rose à pourpre<br> Ponto de fusão : 202-204°C</p>","A, Reagentes",https://abcescolar.pt/es/products/azul-bromotimol,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/woocommerce-placeholder_10449948-a7c1-4c3a-99a1-9ccf8ccff4c6.png?v=1619619582,,,,N/A,,,,,,,,4.5 €,16.18,,,1
17464,17464,17464,Clementoni,Bola de animales de bebé,12.99,,12.99,1 - 14 días,Brinquedos bebé,"<h1>Baby Bola dos Animais</h1>
 <p>A baby bola dos animais é uma bola macia e colorida que reproduz sons de animais enquanto encoraja as crianças a reconhecê-los.</p>
 <p>Esta bola tem sons realísticos muitos efeitos sonoros e doces melodias.</p>
 <p><em>Idade recomendada: +3 meses</em></p>","Brinquedos para Bebé, Clementoni, Exploração sensorial, Linha baby clementoni, Presentes ideais, Primeira infância, Pré-Escolar",https://abcescolar.pt/es/products/baby-bola-dos-animais,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/baby-bola-dos-animais.jpg?v=1622645750,,,,N/A,,,,,,,,4.5 €,12.99,,,2
17417,17417,17417,Clementoni,Perro bebé Peta Pete,15.90,,15.90,1 - 14 días,Brinquedos bebé,"<p>O Baby Cãozinho Pete é um peluche muito suave, ideal para os bebés brincarem numa atmosfera cheia de ternura!</p>
 <h2>Um presente especial</h2>
 <p>Composto por diversos materiais, este peluche promove a estimulação multi-sensorial promovendo a perceção tátil das crianças. Inclui uma mantinha suave para que o cheiro da mãe possa ser absorvido e assim possa tranquilizar o bebé na fase de desapego.</p>
 <p>A caixa serve como presente e arrumo do peluche.</p>
 <p>100% lavável</p>
 <p>Dimensões: 3,50 x 31,50 x 20,00 cm</p>
 <p><em>Idade recomendada: +0 meses</em></p>","Brinquedos para Bebé, Clementoni, Criança, Exploração sensorial, Linha baby clementoni, Outlet, Presentes ideais, Primeira infância, Pré-Escolar",https://abcescolar.pt/es/products/baby-caozinho-pete,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/baby-caozinho-pete.jpg?v=1625244911,,,,N/A,,,,,,,,4.5 €,15.90,,,3
17429,8005125174294,17429,Clementoni,Sitio de coche para bebés,4.99,,4.99,1 - 14 días,Brinquedos bebé,"<p>Este jogo Baby Carro Cambalhota é ideal para saltar para a autoestrada da diversão e acelerar em direção a novas aventuras.</p>
 <h2>Rumo à aventura</h2>
 <p>Estes divertidos carros tombam e dão cambalhotas, estimulando a curiosidade das crianças. Promove as habilidades manuais e a capacidade criativa das crianças.</p>
 <p>Vários modelos diferentes, compatíveis com a Baby Garagem Divertida.</p>
 <p><em>Idade recomendada: +10 meses</em></p>","Brinquedos para Bebé, Clementoni, Criança, Exploração sensorial, KuantoKusta, Linha baby clementoni, Outlet, Presentes ideais, Primeira infância, Pré-Escolar",https://abcescolar.pt/es/products/baby-carro-cambalhota,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/carro-cambalhotas-clementoni.jpg?v=1622645857,,,,N/A,,,,,,,,4.5 €,4.99,,,14
17419,17419,17419,Clementoni,Baby Bunny Benny,15.90,,15.90,1 - 14 días,Brinquedos bebé,"<p>O Baby coelhinho Benny é um simpático peluche em forma de coelhinho que irá fazer companhia aos bebés durante os seus primeiros meses.</p>
 <h2>Um presente especial</h2>
 <p>É macio e com diferentes materiais e texturas, que permitem realçar a estimulação sensorial da criança. Inclui caixa presente que pode ser utilizada como caixa de arrumação do pequeno peluche.</p>
 <p>Idade recomendada: +0 anos</p>
 <p><br></p>","Brinquedos para Bebé, Clementoni, Criança, Exploração sensorial, Linha baby clementoni, Presentes ideais, Primeira infância, Pré-Escolar",https://abcescolar.pt/es/products/baby-coelhinho-benny,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/baby-coelhinho-benny.jpg?v=1622645888,,,,N/A,,,,,,,,4.5 €,15.90,,,3
14948,14948,14948,Clementoni,Teléfono inteligente para bebés,9.99,,9.99,1 - 14 días,Brinquedos bebé,"<h1>Baby Smartphone</h1>
 <p>Este brinquedo baby smartphone é um divertido telefone eletrónico que emite sons e tem um ecrã ilustrado e luminoso, imitando um verdadeiro smartphone.</p>
 <p>Estimula as habilidades manuais, bem como a perceção auditiva e visual. Ajuda também a desenvolver a fala.</p>
 <p><em>I</em><em>dade recomendada: 10-36 meses</em></p>","Brinquedos para Bebé, Clementoni, Exploração sensorial, Linha baby clementoni, Presentes ideais, Primeira infância, Pré-Escolar",https://abcescolar.pt/es/products/baby-smartphone,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/baby-smartphone.jpg?v=1622561871,,,,N/A,,,,,,,,4.5 €,9.99,,,2
DVLAB0016,,DVLAB0016,"EDX EDUCATION CO., LTD.",Escala de 1 litro,26.19,,26.19,1 - 14 días,Balanças,"<h1>Balança de 1 litro</h1>
<p>Balança de 1 litro para medição precisa. Inclui compensador deslizante para calibração. De grande precisão. Ajuda na aprendizagem das noções de peso e equivalência. Com esta balança as crianças adquirem noções de lógica e de matemática.</p>
<p>É importante que as crianças se divirtam com os números e entendam como é que estes funcionam. Com esta balança as crianças trabalham vários níveis da sua aprendizagem: a cor, coordenação motora, lógica e capacidade de concentração.</p>
<p><br><strong>Características:</strong></p>
<ul>
<li>Dimensão: 385 x 280mm</li>
<li>Idade recomendada: 7-9 anos</li>
<li>Aprendizagem STEM</li>
</ul>
<p><br></p>","1º Ciclo, Matemática, Medida",https://abcescolar.pt/es/products/balanca-de-litro,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/balanca-com-recipientes-translucidos-de-1000-ml.jpg?v=1629111038,,,,N/A,,,,,,,,4.5 €,26.19,,,3
DVLAB0017,,DVLAB0017,"EDX EDUCATION CO., LTD.",Escala sólida y líquida,23.30,,23.30,1 - 14 días,Balanças,"<h1>Balança de sólidos e líquidos</h1>
<p>Balança de sólidos e líquidos, especialmente projetada para a aprendizagem do peso e medição. Os baldes graduados claros são fáceis para a utilização por parte das crianças. Fabricada em material plástico de alta resistência. Os seus baldes são antiderrapantes e fáceis de despejar.</p>
<p>Tem pés de borracha antiderrapante para que não se mova quando está a ser utilizada.</p>
<p><br><strong>Características:</strong></p>
<ul>
<li>Pés de borracha antiderrapante</li>
<li>Amortecimento na parte de cima para facilitar a calibração</li>
</ul>
<p><br></p>","1º Ciclo, Matemática, Medida",https://abcescolar.pt/es/products/balanca-de-solidos-e-liquidos,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/balanca-de-liquidos-500-ml.jpg?v=1629111131,,,,N/A,,,,,,,,4.5 €,23.30,,,8
55134220,18434881117189,55134220,"Auxilab, S.L.",220G Balance electrónico analítico digital con 10 mg de sensibilidad,970.47,,970.47,1 - 14 días,Balanças,"<h1><strong>Balança eletrónica analítica digital 220g</strong></h1>
<p>Balança eletrónica analítica digital 220g, usada para se obter massas com alta exatidão.</p>
<p>Balanças analíticas são também usadas para medidas nas quais a necessidade de resultados confiáveis não é crítica.</p>
<h2>Características</h2>
<ul>
<li>Precisão de classe 1</li>
<li>Capacidade máxima 220g</li>
<li><span>Capacidade mínima 10mg</span></li>
<li><span>Sensibilidade: 0.1mg</span></li>
<li><span>Diâmetro do prato: 80mg</span></li>
<li>Tecnologia de compensação de força eletromagnética</li>
<li>Estrutura de alumínio e prato de aço inoxidável</li>
<li><span>Caixa de vidro com portas de correr laterais e superior</span></li>
<li><span>Pés ajustáveis em altura</span></li>
<li><span>Bolha de nível para um nivelamento correto da balança</span></li>
<li><span>Visor LCD retro iluminado de fácil leitura</span></li>
<li><span>Calibração interna (série 5134 INT) ou externa (série 5134 EX) (peso de calibração externo incluído)</span></li>
<li><span>Tara em toda a gama de pesagem</span></li>
<li><span>Gancho para pesagens mais baixas como padrão</span></li>
<li><span>Unidades de medida selecionáveis: g, ct, oz, lb, ozt</span></li>
<li><span>Função de contagem de peças com seleção do número de peças de referência</span></li>
<li>
<span>Função de determinação de </span>percentagem</li>
<li><span>Diferentes níveis de ajuste do nível de sensibilidade e velocidade de pesagem para se adaptar às condições ambientais.</span></li>
<li><span>Proteção contra sobrecarga</span></li>
<li><span>Saídas RS232 e USB</span></li>
<li>Alimentação: 100-240VAC 50-60HZ</li>
</ul>
<p><meta charset=""utf-8""><span data-mce-fragment=""1"">Ver outras balanças </span><a data-mce-fragment=""1"" href=""https://abcescolar.pt/collections/balancas"" target=""_blank"" data-mce-href=""https://abcescolar.pt/collections/balancas"">aqui</a><span data-mce-fragment=""1"">.</span><br></p>","Aparelhos, Balanças, Outlet",https://abcescolar.pt/es/products/balanca-eletronica-analitica-220g,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/balanca-electronica-analitica-220g-01mg-serie-5134-ex.jpg?v=1619606371,,,,N/A,,,,,,,,6.99 €,970.47,,,1
BG0003,KBH001,BG0003,"Auxilab, S.L.","Balance electrónico de bolsillo, 100 g digital con sensibilidad 0.01G",34.96,,34.96,1 - 14 días,Balanças,"<p>A Balança eletrónica de bolso, digital 100g é o aparelho indicado para ser usado em contexto escolar. </p>
  <p>Possui um touch screen com retroiluminação LED que facilita a leitura.</p>
  <h2>Design compacto e resistente</h2>
  <p>Apresenta um design compacto e resistente com tampa de plástico, que protege o sensor de impactos e sobrecargas, e um prato de peso em aço inoxidável. Para prolongar a bateria, esta balança dispõe de um sistema automático que a desliga após um minuto sem utilização.</p>
  <h2>
  <br> <strong>Características</strong>
  </h2>
  <ul>
  <li>Capacidade: 100g</li>
  <li>Sensibilidade: 0.01g</li>
  <li>Unidades de medida: g, ct, dwt, oz, ozt</li>
  <li>Funções: pesa, conta peças e tara</li>
  <li>Dimensões do prato: 60x60mm</li>
  <li>Dimensões: 70x115x20mm</li>
  <li>Alimentação: 2 pilhas AAA 1, 5V LR03</li>
  </ul>
  <p><meta charset=""utf-8""><span data-mce-fragment=""1"">Ver outras balanças </span><a data-mce-fragment=""1"" href=""https://abcescolar.pt/collections/balancas"" data-mce-href=""https://abcescolar.pt/collections/balancas"" target=""_blank"">aqui</a><span data-mce-fragment=""1"">.</span></p>","Aparelhos, Balanças",https://abcescolar.pt/es/products/balanca-eletronica-de-bolso-digital-100g,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/balanca-electronica-de-bolso-100g-0-01g_6ce8c17b-f146-4b72-a06c-a6d107db40a8.jpg?v=1624444275,,,,N/A,,,,,,,,4.5 €,34.96,,,3
BG0006,KBB003,BG0006,"Auxilab, S.L.",Balance electrónico digital de 5000 g con sensibilidad 2G,36.79,,36.79,1 - 14 días,Balanças,"<p>Balança eletrónica digital 5000g com sensibilidade de 2g, ideal para ser usada em contexto escolar. </p>
  <p>Ideal para o ensino, com display display digital de fácil leitura e teclado à prova de água. Fácil de utilizar pois tem apenas 3 botões. </p>
  <h2>Características:</h2>
  <ul>
  <li>Permitem medições em gramas ou onças.</li>
  <li>Possuem um mecanismo automático que as desliga após 2 minutos sem utilização.</li>
  <li>Capacidade: 5000 g</li>
  <li>Sensibilidade: 2 g</li>
  <li>Tara: 0-2500g</li>
  <li>Diâmetro do prato: 148 mm</li>
  <li>Alimentação: adaptador CA 220V ou 4 pilhas 1.5 V, tipo AA</li>
  <li>Dimensões: 170x250x45 mm</li>
  </ul>
  <p><meta charset=""utf-8""><span> </span><meta charset=""utf-8""><span data-mce-fragment=""1"">Ver outras balanças </span><a href=""https://abcescolar.pt/collections/balancas"" target=""_blank"" data-mce-href=""https://abcescolar.pt/collections/balancas"" data-mce-fragment=""1"">aqui</a><span data-mce-fragment=""1"">.</span></p>","Aparelhos, Balanças, Laboratório",https://abcescolar.pt/es/products/balanca-eletronica-5000g-2g-serie-5041,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/balanca-electronica-5000g-2g-serie-5041.jpg?v=1625754401,,,,N/A,,,,,,,,6.99 €,36.79,,,6
10041220,,10041220,Eisco Scientific LLC,Globo de destilación con brazo lateral,23.24,,23.24,1 - 14 días,,"Balão de destilação com braço lateral feito de vidro borossilicato de alta qualidade e resistência.<br data-mce-fragment=""1""><br>Fundo redondo.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Ótimo para qualquer laboratório escolar ou doméstico.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">O vidro borossilicato possui as seguintes tolerâncias ao calor: Ponto de Deformação -515°C | Ponto de Recozimento 565°C | Ponto de Amolecimento 820°C.","Balões, KuantoKusta, Química, Vidros/Plásticos",https://abcescolar.pt/es/products/balao-de-destilacao,https://cdn.shopify.com/s/files/1/0555/4277/5963/files/balao-destilacao-250ml.webp?v=1707996823,,,,N/A,,,,,,,,4.5 €,23.24,,,3
10041310,,10041310,Eisco Scientific LLC,Globo de destilación con brazo lateral,25.99,,25.99,1 - 14 días,,"Balão de destilação com braço lateral feito de vidro borossilicato de alta qualidade e resistência.<br data-mce-fragment=""1""><br>Fundo redondo.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Ótimo para qualquer laboratório escolar ou doméstico.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">O vidro borossilicato possui as seguintes tolerâncias ao calor: Ponto de Deformação -515°C | Ponto de Recozimento 565°C | Ponto de Amolecimento 820°C.","Balões, KuantoKusta, Química, Vidros/Plásticos",https://abcescolar.pt/es/products/balao-de-destilacao,https://cdn.shopify.com/s/files/1/0555/4277/5963/files/balao-destilacao-250ml.webp?v=1707996823,,,,N/A,,,,,,,,4.5 €,25.99,,,1
CH0416E,,CH0416E,Eisco Scientific LLC,Globo de destilación con brazo lateral,28.08,,28.08,1 - 14 días,,"Balão de destilação com braço lateral feito de vidro borossilicato de alta qualidade e resistência.<br data-mce-fragment=""1""><br>Fundo redondo.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Ótimo para qualquer laboratório escolar ou doméstico.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">O vidro borossilicato possui as seguintes tolerâncias ao calor: Ponto de Deformação -515°C | Ponto de Recozimento 565°C | Ponto de Amolecimento 820°C.","Balões, KuantoKusta, Química, Vidros/Plásticos",https://abcescolar.pt/es/products/balao-de-destilacao,https://cdn.shopify.com/s/files/1/0555/4277/5963/files/balao-destilacao-250ml.webp?v=1707996823,,,,N/A,,,,,,,,4.5 €,28.08,,,2
LB0012,CDB013,LB0012,"Auxilab, S.L.",Globo Erlenmeyer,2.21,,2.21,1 - 14 días,Balão,"<h1>Balão Erlenmeyer</h1>
  <p>O Balão Erlenmeyer é um utensílio de vidro cujo formato permite agitar energicamente o líquido de contém.</p>
  <p>Utiliza-se na preparação e no aquecimento de soluções, bem como na recolha de líquidos. Usado em laboratórios de química e biologia. Têm indicação da volumetria.</p>
  <p><br> <strong>Características</strong></p>
  <ul>
  <li>Boca estreita</li>
  <li>Vidro borosilicato</li>
  <li>Superfície de rotulação</li>
  <li>Várias capacidades disponíveis (50, 100, 250, 500 e 1000, 2000 e 3000 ml)</li>
  </ul>
  <p>Ver outros balões <a href=""https://abcescolar.pt/collections/baloes"" target=""_blank"">aqui</a>.</p>","Balões, Laboratório, Vidros/Plásticos",https://abcescolar.pt/es/products/balao-erlenmeyer,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/balao-erlenmeyer-1000ml.jpg?v=1629276843,,,,N/A,,,,,,,,4.5 €,2.21,,,15
LC0003,CDB014,LC0003,"Auxilab, S.L.",Globo Erlenmeyer,2.88,,2.88,1 - 14 días,Balão,"<h1>Balão Erlenmeyer</h1>
  <p>O Balão Erlenmeyer é um utensílio de vidro cujo formato permite agitar energicamente o líquido de contém.</p>
  <p>Utiliza-se na preparação e no aquecimento de soluções, bem como na recolha de líquidos. Usado em laboratórios de química e biologia. Têm indicação da volumetria.</p>
  <p><br> <strong>Características</strong></p>
  <ul>
  <li>Boca estreita</li>
  <li>Vidro borosilicato</li>
  <li>Superfície de rotulação</li>
  <li>Várias capacidades disponíveis (50, 100, 250, 500 e 1000, 2000 e 3000 ml)</li>
  </ul>
  <p>Ver outros balões <a href=""https://abcescolar.pt/collections/baloes"" target=""_blank"">aqui</a>.</p>","Balões, Laboratório, Vidros/Plásticos",https://abcescolar.pt/es/products/balao-erlenmeyer,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/balao-erlenmeyer-1000ml.jpg?v=1629276843,,,,N/A,,,,,,,,4.5 €,2.88,,,6
LB0013,CDB015,LB0013,"Auxilab, S.L.",Globo Erlenmeyer,3.47,,3.47,1 - 14 días,Balão,"<h1>Balão Erlenmeyer</h1>
  <p>O Balão Erlenmeyer é um utensílio de vidro cujo formato permite agitar energicamente o líquido de contém.</p>
  <p>Utiliza-se na preparação e no aquecimento de soluções, bem como na recolha de líquidos. Usado em laboratórios de química e biologia. Têm indicação da volumetria.</p>
  <p><br> <strong>Características</strong></p>
  <ul>
  <li>Boca estreita</li>
  <li>Vidro borosilicato</li>
  <li>Superfície de rotulação</li>
  <li>Várias capacidades disponíveis (50, 100, 250, 500 e 1000, 2000 e 3000 ml)</li>
  </ul>
  <p>Ver outros balões <a href=""https://abcescolar.pt/collections/baloes"" target=""_blank"">aqui</a>.</p>","Balões, Laboratório, Vidros/Plásticos",https://abcescolar.pt/es/products/balao-erlenmeyer,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/balao-erlenmeyer-1000ml.jpg?v=1629276843,,,,N/A,,,,,,,,4.5 €,3.47,,,2
LB0014,CDB016,LB0014,"Auxilab, S.L.",Globo Erlenmeyer,4.30,,4.30,1 - 14 días,Balão,"<h1>Balão Erlenmeyer</h1>
  <p>O Balão Erlenmeyer é um utensílio de vidro cujo formato permite agitar energicamente o líquido de contém.</p>
  <p>Utiliza-se na preparação e no aquecimento de soluções, bem como na recolha de líquidos. Usado em laboratórios de química e biologia. Têm indicação da volumetria.</p>
  <p><br> <strong>Características</strong></p>
  <ul>
  <li>Boca estreita</li>
  <li>Vidro borosilicato</li>
  <li>Superfície de rotulação</li>
  <li>Várias capacidades disponíveis (50, 100, 250, 500 e 1000, 2000 e 3000 ml)</li>
  </ul>
  <p>Ver outros balões <a href=""https://abcescolar.pt/collections/baloes"" target=""_blank"">aqui</a>.</p>","Balões, Laboratório, Vidros/Plásticos",https://abcescolar.pt/es/products/balao-erlenmeyer,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/balao-erlenmeyer-1000ml.jpg?v=1629276843,,,,N/A,,,,,,,,4.5 €,4.30,,,8
LB0015,CDB017,LB0015,"Auxilab, S.L.",Globo Erlenmeyer,7.93,,7.93,1 - 14 días,Balão,"<h1>Balão Erlenmeyer</h1>
  <p>O Balão Erlenmeyer é um utensílio de vidro cujo formato permite agitar energicamente o líquido de contém.</p>
  <p>Utiliza-se na preparação e no aquecimento de soluções, bem como na recolha de líquidos. Usado em laboratórios de química e biologia. Têm indicação da volumetria.</p>
  <p><br> <strong>Características</strong></p>
  <ul>
  <li>Boca estreita</li>
  <li>Vidro borosilicato</li>
  <li>Superfície de rotulação</li>
  <li>Várias capacidades disponíveis (50, 100, 250, 500 e 1000, 2000 e 3000 ml)</li>
  </ul>
  <p>Ver outros balões <a href=""https://abcescolar.pt/collections/baloes"" target=""_blank"">aqui</a>.</p>","Balões, Laboratório, Vidros/Plásticos",https://abcescolar.pt/es/products/balao-erlenmeyer,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/balao-erlenmeyer-1000ml.jpg?v=1629276843,,,,N/A,,,,,,,,4.5 €,7.93,,,10
18015224,,18015224,"Auxilab, S.L.",Globo esférico con/ redondo redondo,15.68,,15.68,1 - 14 días,Balão,"<p>Balão esférico com fundo redondo esmerilado: Ideal para laboratórios, oferece estabilidade e resistência térmica. Perfeito para misturas e reações químicas. Fabricado em vidro de alta qualidade com fundo esmerilado para maior aderência em superfícies. Essencial para experiências precisas e seguras.</p>
<!---->","Balões, Laboratório, Vidros/Plásticos",https://abcescolar.pt/es/products/balao-esferico-c-fundo-redondo-esm-2429-500-ml,https://cdn.shopify.com/s/files/1/0555/4277/5963/files/ObtenerImagen_024e01fe-96ae-45c7-a0b9-db921f41332c.jpg?v=1722525331,,,,N/A,,,,,,,,4.5 €,15.68,,,16
18015252,,18015252,"Auxilab, S.L.",Globo esférico con/ redondo redondo,14.23,,14.23,1 - 14 días,Balão,"<p>Balão esférico com fundo redondo esmerilado: Ideal para laboratórios, oferece estabilidade e resistência térmica. Perfeito para misturas e reações químicas. Fabricado em vidro de alta qualidade com fundo esmerilado para maior aderência em superfícies. Essencial para experiências precisas e seguras.</p>
<!---->","Balões, Laboratório, Vidros/Plásticos",https://abcescolar.pt/es/products/balao-esferico-c-fundo-redondo-esm-2429-500-ml,https://cdn.shopify.com/s/files/1/0555/4277/5963/files/ObtenerImagen_024e01fe-96ae-45c7-a0b9-db921f41332c.jpg?v=1722525331,,,,N/A,,,,,,,,4.5 €,14.23,,,7
18015253,,18015253,"Auxilab, S.L.",Globo esférico con/ redondo redondo,14.62,,14.62,1 - 14 días,Balão,"<p>Balão esférico com fundo redondo esmerilado: Ideal para laboratórios, oferece estabilidade e resistência térmica. Perfeito para misturas e reações químicas. Fabricado em vidro de alta qualidade com fundo esmerilado para maior aderência em superfícies. Essencial para experiências precisas e seguras.</p>
<!---->","Balões, Laboratório, Vidros/Plásticos",https://abcescolar.pt/es/products/balao-esferico-c-fundo-redondo-esm-2429-500-ml,https://cdn.shopify.com/s/files/1/0555/4277/5963/files/ObtenerImagen_024e01fe-96ae-45c7-a0b9-db921f41332c.jpg?v=1722525331,,,,N/A,,,,,,,,4.5 €,14.62,,,1
